Albania,#genre#
ORF III Ⓖ,https://orf3.mdn.ors.at/out/u/orf3/q8c/manifest.m3u8
ORF Sport + Ⓖ,https://orfs.mdn.ors.at/out/u/orfs/q8c/manifest.m3u8
Servus TV Ⓖ,https://rbmn-live.akamaized.net/hls/live/2002825/geoSTVATweb/master.m3u8
oe24,https://varoe24live.sf.apa.at/oe24-live1/oe24.smil/chunklist_b1900000.m3u8
W24,https://ms01.w24.at/W24/smil:liveevent.smil/playlist.m3u8
P3TV,http://p3-6.mov.at:1935/live/weekstream/playlist.m3u8
RTV,http://iptv.rtv-ooe.at/stream.m3u8
RTS Ⓖ,https://58b42f6c8c9bf.streamlock.net:8080/live/RTS2015/playlist.m3u8
Tirol TV Ⓖ,http://lb.hd-livestream.de:1935/live/TirolTV/playlist.m3u8
R9,https://ms01.w24.at/R9/smil:liveeventR9.smil/playlist.m3u8
Azerbaijan,#genre#
ARB 24,http://85.132.81.184:8080/arb/live/index.m3u8
ARB Günəş Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=ARMGunes
ARB Ⓢ,http://109.205.166.68/server124/arb/index.m3u8
Azad TV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=ATVAz
AzStarTV,http://live.azstartv.com/azstar/smil:azstar.smil/playlist.m3u8
AZTV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=AZTV
Baku TV,https://rtmp.baku.tv/live/bakutv_720p.m3u8
CBC,https://stream.cbctv.az:5443/LiveApp/streams/cbctv.m3u8
CBC Sport Ⓖ,https://mn-nl.mncdn.com/cbcsports_live/cbcsports/playlist.m3u8
Dünya TV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=Dunya
İctimai TV Ⓢ,http://109.205.166.68/server124/ictimai_tv/index.m3u8
İdman TV Ⓢ,http://109.205.166.68/server124/idman_az/index.m3u8
Kanal S,https://www.tvkaista.net/stream-forwarder/get.php?x=KanalS
Mədəniyyət TV Ⓢ,https://str.yodacdn.net/medeniyyet/index.m3u8
Real TV,https://www.tvkaista.net/stream-forwarder/get.php?x=RealTV
Space TV Ⓢ,http://109.205.166.68/server124/space_tv/index.m3u8
Xəzər TV Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=Xezer
Səhiyyə TV,https://www.tvkaista.net/stream-forwarder/get.php?x=SehiyyeTV
MTV Azerbaijan Ⓢ,https://www.tvkaista.net/stream-forwarder/get.php?x=MTVAzerbaijan
Belarus,#genre#
Беларусь 1,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus1.smil/playlist.m3u8
Беларусь 2,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus2.smil/playlist.m3u8
Беларусь 3,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus3.smil/playlist.m3u8
ОНТ Ⓢ,https://stream.dc.beltelecom.by/ont/ont/playlist.m3u8
Беларусь 5,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5.smil/playlist.m3u8
СТВ,https://ctv.dc.beltelecom.by/ctv/ctv.stream/playlist.m3u8
Беларусь 24,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus24.smil/playlist.m3u8
Беларусь 5 Интернет,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5int.smil/playlist.m3u8
1Mus,http://hz1.teleport.cc/HLS/HD.m3u8
8 Kanal Vitebsk Ⓢ,http://95.46.208.8:24433/art
Belros Ⓢ,https://live2.mediacdn.ru/sr1/tro/playlist.m3u8
Belarus 4 Vitebsk Ⓢ,http://95.46.208.8:26258/belarus4
Hawe TV Vitebsk Ⓢ,http://95.46.208.8:26259/nashe
Pervyy Muzykal'nyy BY Ⓢ,http://rtmp.one.by:1200
Planeta RTR Ⓢ,https://a3569455801-s26881.cdn.ngenix.net/live/smil:rtrp.smil/chunklist_b1600000.m3u8
Radio HIT Orsk,http://hithd.camsh.orsk.ru/hls/hithd.m3u8
Vitebsk Telekanal,https://flu.vtv.by/tvt-non-by/tracks-v1a1/mono.m3u8
Belgium,#genre#
RTL-Be,https://rtltvi-lh.akamaihd.net/i/TVI_1@319659/master.m3u8
La Une,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/29797c9f3f4fa00.m3u8
Tipik,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/5dee2de1f4661ce.m3u8
Club RTL,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/9ef55f75bc15308.ts
La Trois,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/6f940c7da9a562e.ts
Plug RTL,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/de5c6896d356f8e.ts
LN24,https://live.cdn.ln24.be/out/v1/b191621c8b9a436cad37bb36a82d2e1c/index.m3u8
BX1,https://59959724487e3.streamlock.net/stream/live/playlist.m3u8
EEN,https://live-vrt.rabah.net/groupc/live/8edf3bdf-7db3-41c3-a318-72cb7f82de66/live_aes.isml/playlist.m3u8
Canvas,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/09916e3a88db175.ts
VTM,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/c5cafdbfc4d28d3.ts
Bosnia and Herzegovina,#genre#
BHT 1 Ⓢ,https://webtvstream.bhtelecom.ba/hls15/bhrtportal.m3u8
Federalna televizija (FTV) Ⓢ,http://94.250.2.6:7374/play/a02s/index.m3u8
Televizija Republike Srpske (RTRS) Ⓢ,https://uzivo.rtrs.tv/tv/live/index.m3u8
RTRS PLUS Ⓢ,https://pluslive.rtrs.tv/plus/plus/playlist.m3u8
N1 Bosna i Hercegovina,https://best-str.umn.cdn.united.cloud/stream?channel=n1bos&p=n1Sh4redSecre7iNf0&sp=n1info&stream=sp1400&u=n1info
RTV HB Ⓢ,https://prd-hometv-live-open.spectar.tv/ERO_1_083/playlist.m3u8
RTV BN,https://rtvbn.tv:8080/live/index.m3u8
RTV Glas Drine,http://glasdrine.cutuk.net:8081/433ssdsw/GlasDrineSD/playlist.m3u8
Sevdah Ⓢ,https://restreamer2.tnt.ba/hls/stream.m3u8
TNT Kids,https://restreamer1.tnt.ba/hls/tntkids.m3u8
Televizija 5,https://balkanmedia.dynu.net/hls/tv5web.m3u8
Kanal 6,https://restreamer1.tnt.ba/hls/kanal6.m3u8
SuperTV,https://mirtv.club/live/mirtv/index.m3u8
RTV ZE Ⓢ,https://stream.rtvze.ba/live/123/123.m3u8
TV BPK Ⓢ,http://94.250.2.6:7374/play/a02u/index.m3u8
Brazil,#genre#
ALL Sports Brasil,https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/chunklist.m3u8
COM Brasil,https://596639ebdd89b.streamlock.net/8032/8032/index.m3u8
SBT Ⓢ,http://wz4.dnip.com.br/bemtv/bemtv.sdp/playlist.m3u8
AgroBrasil TV,http://45.162.230.234:1935/agrobrasiltv/agrobrasiltv/playlist.m3u8
Futura,https://tv.unisc.br/hls/test.m3u8
Anime TV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
ISTV,https://stmv1.srvstm.com/sistema7933/sistema7933/chunklist.m3u8
Rede Brasil,https://5cf4a2c2512a2.streamlock.net/rbtv/rbtv/playlist.m3u8
TV Câmara,https://stream3.camara.gov.br/tv1/manifest.m3u8
Bulgaria,#genre#
City TV Ⓢ,https://tv.city.bg/play/tshls/citytv/index.m3u8
Euronews Bulgaria Ⓨ,https://www.youtube.com/channel/UCU1i6qBMjY9El6q5L2OK8hA/live
TV1,https://tv1.cloudcdn.bg/temp/livestream.m3u8
Canada,#genre#
CBC Toronto,https://bozztv.com/teleyupp1/teleup-ydcl2V1MVC/playlist.m3u8
ONNtv Ontario,https://onntv.vantrix.tv:443/onntv_hls/1080p/onntv_hls-HLS-1080p.m3u8
CBC News,https://cbcnewshd-f.akamaihd.net/i/cbcnews_1@8981/index_2500_av-p.m3u8
CTV News,https://pe-fa-lp02a.9c9media.com/live/News1Digi/p/hls/00000201/38ef78f479b07aa0/index/0c6a10a2/live/stream/h264/v1/3500000/manifest.m3u8
Global News BC,https://i.mjh.nz/PlutoTV/62cbf063257170000724590c-alt.m3u8
Global News Calgary,https://i.mjh.nz/PlutoTV/62cbf23dcfb48300077f8348-alt.m3u8
Global News Kingston,https://i.mjh.nz/PlutoTV/62cbf4964446e2000742073e-alt.m3u8
Global News Peterborough,https://i.mjh.nz/PlutoTV/62cbfcd8c2db990007861e43-alt.m3u8
Global News Regina,https://i.mjh.nz/PlutoTV/62cbff53ca8f2200080253b5-alt.m3u8
Global News Saskatoon,https://i.mjh.nz/PlutoTV/62cc00359cb58900088dc840-alt.m3u8
Global News Winnipeg,https://i.mjh.nz/PlutoTV/62cc0120880c890007191016-alt.m3u8
CPAC (EN),https://d7z3qjdsxbwoq.cloudfront.net/groupa/live/f9809cea-1e07-47cd-a94d-2ddd3e1351db/live.isml/.m3u8
ICI RDI,https://rcavlive.akamaized.net/hls/live/704025/xcanrdi/master.m3u8
Télé Québec,https://bcovlive-a.akamaihd.net/575d86160eb143458d51f7ab187a4e68/us-east-1/6101674910001/playlist.m3u8
Savoir Média,https://hls.savoir.media/live/stream.m3u8
CPAC (FR),https://bcsecurelivehls-i.akamaihd.net/hls/live/680604/1242843915001_3/master.m3u8
ICI Montreal,https://amdici.akamaized.net/hls/live/873426/ICI-Live-Stream/master.m3u8
Toronto 360 TV,http://cdn3.toronto360.tv:8081/toronto360/hd/playlist.m3u8
Chad,#genre#
Tchad 24,http://102.131.58.110/out_1/index.m3u8
Télé Tchad Ⓢ,https://strhlslb01.streamakaci.tv/str_tchad_tchad/str_tchad_multi/playlist.m3u8
Chile,#genre#
UCV Televisión,https://unlimited1-cl-isp.dps.live/ucvtv2/ucvtv2.smil/playlist.m3u8
TVN Ⓖ,https://sktv-forwarders.7m.pl/get.php?x=TVN
24 horas,https://mdstrm.com/live-stream-playlist/57d1a22064f5d85712b20dab.m3u8
NTV Ⓖ,https://mdstrm.com/live-stream-playlist/5aaabe9e2c56420918184c6d.m3u8
TV Chile Ⓖ,https://mdstrm.com/live-stream-playlist/533adcc949386ce765657d7c.m3u8
Canal 13,https://sktv-forwarders.7m.pl/get.php?x=Canal13
TV+ Ⓖ,https://mdstrm.com/live-stream-playlist/5c0e8b19e4c87f3f2d3e6a59.m3u8
Chilevisión Ⓖ,https://sktv-forwarders.7m.pl/get.php?x=Chilevision
UChile TV,https://unlimited1-us.dps.live/uchiletv/uchiletv.smil/playlist.m3u8
T13 en vivo,https://redirector.rudo.video/hls-video/10b92cafdf3646cbc1e727f3dc76863621a327fd/t13/t13.smil/playlist.m3u8
13 Entretención,https://origin.dpsgo.com/ssai/event/BBp0VeP6QtOOlH8nu3bWTg/master.m3u8
13 Cultura,https://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8
13 Prime,https://origin.dpsgo.com/ssai/event/p4mmBxEzSmKAxY1GusOHrw/master.m3u8
13 Kids,https://origin.dpsgo.com/ssai/event/LhHrVtyeQkKZ-Ye_xEU75g/master.m3u8
13 Realities,https://origin.dpsgo.com/ssai/event/g7_JOM0ORki9SR5RKHe-Kw/master.m3u8
13 Teleseries,https://origin.dpsgo.com/ssai/event/f4TrySe8SoiGF8Lu3EIq1g/master.m3u8
El Pingüino TV,https://redirector.rudo.video/hls-video/339f69c6122f6d8f4574732c235f09b7683e31a5/pinguinotv/pinguinotv.smil/playlist.m3u8
UCL,https://redirector.rudo.video/hls-video/c54ac2799874375c81c1672abb700870537c5223/ucl/ucl.smil/playlist.m3u8
Deportes13 Ⓖ,https://redirector.rudo.video/hls-video/ey6283je82983je9823je8jowowiekldk9838274/13d/13d.smil/playlist.m3u8
TVN 3,https://mdstrm.com/live-stream-playlist/5653641561b4eba30a7e4929.m3u8
Chilevisión Noticias,https://redirector.rudo.video/hls-video/10b92cafdf3646cbc1e727f3dc76863621a327fd/chvn/chvn.smil/playlist.m3u8
China,#genre#
CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2 财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-4 中文国际（亚） Ⓨ,https://www.youtube.com/channel/UC4K_LI-Tn3-LshNgG0-YypQ/live
CCTV-4 中文国际（美） Ⓢ,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5 体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-5+ 体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-7 国防军事,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV-8 电视剧,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-9 纪录,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-10 科教,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV-13 新闻,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV-17 农业农村,https://node1.olelive.com:6443/live/CCTV17HD/hls.m3u8
CETV-1,http://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV-2,http://txycsbl.centv.cn/zb/0822cetv2.m3u8
CETV-3,http://txycsbl.centv.cn/zb/0822cetv3.m3u8
CETV-4,http://txycsbl.centv.cn/zb/0822cetv4.m3u8
TV BRICS Chinese,https://brics.bonus-tv.ru/cdn/brics/chinese/playlist.m3u8
Costa Rica,#genre#
Canal 1,https://video20.klm99.com:3993/live/canal1crlive.m3u8
Canal 2 CDR,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
Canal 4,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
Canal 6,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
Canal 8,http://mdstrm.com/live-stream-playlist/5a7b1e63a8da282c34d65445.m3u8
Canal 11,https://d3bgcstab9qhdz.cloudfront.net/hls/canal2.m3u8
88 Stereo,http://k3.usastreams.com/CableLatino/88stereo/playlist.m3u8
Croatia,#genre#
HRT 1,https://webtvstream.bhtelecom.ba/hls9/hrt1_1200.m3u8
HRT 2,https://webtvstream.bhtelecom.ba/hls9/hrt2_1200.m3u8
RTL,https://d1cs5tlhj75jxe.cloudfront.net/rtl/playlist.m3u8
HRT 3,https://webtvstream.bhtelecom.ba/hls9/hrt3_1200.m3u8
RTL 2,https://d1um9c09e0t5ag.cloudfront.net/rtl2/playlist.m3u8
Sportska televizija Ⓖ,https://stream.agatin.hr:3087/live/sptvlive.m3u8
RTL Kockica,https://d1rzyyum8t0q1e.cloudfront.net/rtl-kockica/playlist.m3u8
CMC TV,https://stream.cmctv.hr:49998/cmc/live.m3u8
Plava Vinkovačka,https://player-api.new.livestream.com/accounts/26611954/events/7977299/broadcasts/237205435.secure.m3u8
Televizija Slavonije i Baranje (STV),http://89.201.163.244:8080/hls/hdmi.m3u8
Osječka televizija (OSTV) Ⓢ,https://player-api.new.livestream.com/accounts/27681961/events/8347875/broadcasts/237202062.secure.m3u8
TV Nova,https://stream.agatin.hr:3727/live/tvnovalive.m3u8
TV Jadran,https://tvjadran.stream.agatin.hr:3412/live/tvjadranlive.m3u8
Libertas TV,https://stream.luci.xyz/hls/LTV.m3u8
Trend TV,http://185.62.75.22:1935/trend/myStream/playlist.m3u8
Televizija Zapad,http://webtv.zapad.tv:8080/memfs/1ad23803-84c3-41c7-aa91-fce4c7eac52e.m3u8
Al Jazeera Balkans,https://live-hls-web-ajb.getaj.net/AJB/index.m3u8
Cyprus,#genre#
RIK 1 Ⓢ,http://l6.cloudskep.com/tvb6/rik1-1/mpeg.2ts
RIK 2 Ⓢ,http://l6.cloudskep.com/tvb6/rik2-1/mpeg.2ts
RIK HD,http://l6.cloudskep.com/tvb6/rikhd1/mpeg.2ts
RIK Sat,https://l3.cloudskep.com/cybcsat/abr/playlist.m3u8
BRT 1,https://sc-kuzeykibrissmarttv.ercdn.net/brt1hd/bant1/playlist.m3u8
BRT 2,https://sc-kuzeykibrissmarttv.ercdn.net/brt2hd/bant1/playlist.m3u8
Ada TV Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/adatv/bant1/playlist.m3u8
Kıbrıs Genç TV Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/kibrisgenctv/bant1/playlist.m3u8
Kanal T Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/kanalt/bantp1/playlist.m3u8
Kıbrıs TV Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/kibristv/bant1/playlist.m3u8
TV 2020 Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/tv2020/bantp1/playlist.m3u8
Czech Republic,#genre#
ČT1 Ⓖ,https://sktv-forwarders.7m.pl/get.php?x=CT1
ČT2 Ⓖ,https://sktv-forwarders.7m.pl/get.php?x=CT2
ČT24,https://sktv-forwarders.7m.pl/get.php?x=CT24
ČT sport Ⓖ,https://sktv-forwarders.7m.pl/get.php?x=CTsport
ČT :D,https://sktv-forwarders.7m.pl/get.php?x=CT_D
ČT art,https://sktv-forwarders.7m.pl/get.php?x=CTart
JOJ Family Ⓢ,https://live.cdn.joj.sk/live/hls/family-540.m3u8
Šlágr Originál Ⓢ,https://stream-6.mazana.tv/slagr.m3u
Šlágr Muzika Ⓢ,https://stream-33.mazana.tv/slagr2.m3u
Šlágr Premium Ⓢ,https://stream-15.mazana.tv/slagrpremium.m3u
Prima Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_family/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
CNN Prima News,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_cnn/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Zoom Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_zoom/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Love Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_love/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima STAR Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_star/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Krimi Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_krimi/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima MAX Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_max/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Cool Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_cool/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Show Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_show/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Óčko Ⓢ,https://ocko-live.ssl.cdn.cra.cz/channels/ocko/playlist.m3u8
Óčko Star Ⓢ,https://ocko-live.ssl.cdn.cra.cz/channels/ocko_gold/playlist.m3u8
Óčko Expres Ⓢ,https://ocko-live.ssl.cdn.cra.cz/channels/ocko_expres/playlist.m3u8
Retro Music Television Ⓢ,https://stream.mediawork.cz/retrotv/smil:retrotv2.smil/playlist.m3u8
Praha TV,https://stream.polar.cz/prahatv/prahatvlive-1/playlist.m3u8
Denmark,#genre#
DR1 Ⓖ,https://drlive01texthls.akamaized.net/hls/live/2014186/drlive01text/master.m3u8
DR2 Ⓖ,https://drlive02texthls.akamaized.net/hls/live/2014188/drlive02text/master.m3u8
DR Ramasjang Ⓖ,https://drlive03texthls.akamaized.net/hls/live/2014191/drlive03text/master.m3u8
Folketinget TV,https://cdnapi.kaltura.com/p/2158211/sp/327418300/playManifest/entryId/1_24gfa7qq/protocol/https/format/applehttp/a.m3u8
TV Syd+,https://cdn-lt-live.tvsyd.dk/env/cluster-1-e.live.nvp1/live/hls/p/1956351/e/0_e9slj9wh/tl/main/st/0/t/rFEtaqAbdhUFGef_BNF4WQ/index-s32.m3u8
TV 2/Fyn,https://cdn-lt-live.tv2fyn.dk/env/cluster-1-e.live.nvp1/live/hls/p/1966291/e/0_vsfrv0zm/tl/main/st/0/t/EgP1FA1D39taZFVewCa42w/index-s32.m3u8
TV 2/Øst,https://cdn-lt-live.tveast.dk/env/cluster-1-e.live.nvp1/live/hls/p/1953381/e/0_zphj9q61/tl/main/st/0/t/THUB80e-ZMufZCE4pDhO0g/index-s32.m3u8
TV 2/Nord,https://cdn-lt-live.tv2nord.dk/env/cluster-1-e.live.nvp1/live/hls/p/1956931/e/1_h9yfe7h2/tl/main/st/1/t/_FUn1YHQ6_P6lES4U6mmsA/index-s32.m3u8
TV 2 Kosmopol,https://cdn-lt-live.tv2lorry.dk/env/cluster-1-d.live.nvp1/live/hls/p/2045321/e/1_grusx1zd/tl/main/st/0/t/rCct87c-v2SFFCvQK1BBOg/index-s32.m3u8
TV/Midt-Vest,https://cdn-lt-live.tvmidtvest.dk/env/cluster-1-d.live.frp1/live/hls/p/1953371/e/1_9x5lzos9/tl/main/st/0/t/9MTEhotxVwKuatx1EVXdGg/index-s34.m3u8
TV 2/Østjylland,https://cdn-lt-live.tvmidtvest.dk/env/cluster-1-d.live.frp1/live/hls/p/1953371/e/1_9x5lzos9/tl/main/st/0/t/9MTEhotxVwKuatx1EVXdGg/index-s34.m3u8
TV 2/Bornholm,https://live.tv2bornholm.dk/stream/live/playlist.m3u8
TV Storbyen,https://5eeb3940cfaa0.streamlock.net/webtv_live/_definst_/mp4:kanalnordvest/playlist.m3u8
Kanal Hovedstaden,http://khkbh.dk:8080/hls/livestream/index.m3u8
Dominican Republic,#genre#
Canal RTVD 4,https://protvradiostream.com:1936/canal4rd-1/ngrp:canal4rd-1_all/playlist.m3u8
Estonia,#genre#
ETV Ⓖ,http://sb.err.ee/live/etv.m3u8
ETV2 Ⓖ,http://sb.err.ee/live/etv2.m3u8
ETV+ Ⓖ,http://sb.err.ee/live/etvpluss.m3u8
Riigikogu,https://riigikogu.babahhcdn.com/bb1027/smil:riigikogu_ch1.smil/playlist.m3u8
Taevas TV7,https://vod.tv7.fi/tv7-ee/_definst_/smil:tv7-ee.smil/playlist.m3u8
Life TV Estonia,https://lifetv.bitflip.ee/live/stream2.m3u8
Life TV Europe,https://lifetv.bitflip.ee/live/stream1.m3u8
TBN Baltia,http://dc.tbnbaltia.eu:8088/dvr/rewind-21600.m3u8
Faroe Islands,#genre#
KVF Sjónvarp,https://w1.kringvarp.fo/uttanlands/smil:uttanlands.smil/playlist.m3u8
Tingvarp,https://play.kringvarp.fo/redirect/tingvarp/_definst_/smil:tingvarp.smil?type=m3u8
Finland,#genre#
Yle TV1 Ⓖ,https://yletv.akamaized.net/hls/live/622365/yletv1fin/index.m3u8
Yle TV2 Ⓖ,https://yletv.akamaized.net/hls/live/622366/yletv2fin/index.m3u8
MTV3,https://live-fi.tvkaista.net/mtv3/live.m3u8?src=freetv
Nelonen,https://live-fi.tvkaista.net/nelonen/live.m3u8?src=freetv
Yle Teema Fem Ⓖ,https://yletv.akamaized.net/hls/live/622367/yletvteemafemfin/index.m3u8
MTV Sub,https://live-fi.tvkaista.net/sub/live.m3u8?src=freetv
TV5 Finland,https://live-fi.tvkaista.net/tv5/live.m3u8?src=freetv
Kutonen,https://live-fi.tvkaista.net/kutonen/live.m3u8?src=freetv
TLC Finland,https://live-fi.tvkaista.net/tlc/live.m3u8?src=freetv
MTV Ava,https://live-fi.tvkaista.net/ava/live.m3u8?src=freetv
Frii,https://live-fi.tvkaista.net/frii/live.m3u8?src=freetv
IRR-TV,https://irrtv.digitacdn.net/live/_definst_/irrtv/amlst:irrtv.amlst/playlist.m3u8?organizationId=229401409&suiteItemId=230439940
National Geographic Finland,https://live-fi.tvkaista.net/national-geographic/live.m3u8?src=freetv
